userid,year,month,day,weeknumber,schooldays,holidayname,attendance1,attendance2,attendance3,attendance4,attendance5,ontime,offtime
,2017,10,23,1,0,,,,,,,,
,2017,10,24,2,0,,,,,,,,
,2017,10,25,3,0,,,,,,,,
,2017,10,26,4,0,,,,,,,,
,2017,10,27,5,0,,,,,,,,
,2017,10,28,6,0,,,,,,,,
,2017,10,29,0,0,,,,,,,,
,2017,10,30,1,0,,,,,,,,
,2017,10,31,2,0,,,,,,,,
,2017,11,1,3,0,,,,,,,,
,2017,11,2,4,0,,,,,,,,
,2017,11,3,5,0,ï∂âªÇÃì˙,,,,,,,
,2017,11,4,6,0,,,,,,,,
,2017,11,5,0,0,,,,,,,,
,2017,11,6,1,0,,,,,,,,
,2017,11,7,2,0,,,,,,,,
,2017,11,8,3,0,,,,,,,,
,2017,11,9,4,0,,,,,,,,
,2017,11,10,5,0,,,,,,,,
,2017,11,11,6,0,,,,,,,,
,2017,11,12,0,0,,,,,,,,
,2017,11,13,1,0,,,,,,,,
,2017,11,14,2,0,,,,,,,,
,2017,11,15,3,0,,,,,,,,
,2017,11,16,4,0,,,,,,,,
,2017,11,17,5,0,,,,,,,,
,2017,11,18,6,0,,,,,,,,
,2017,11,19,0,0,,,,,,,,
,2017,11,20,1,0,,,,,,,,
,2017,11,21,2,0,,,,,,,,
,2017,11,22,3,0,,,,,,,,
,2017,11,23,4,0,ãŒòJä¥é”ÇÃì˙,,,,,,,
,2017,11,24,5,0,,,,,,,,
,2017,11,25,6,0,,,,,,,,
,2017,11,26,0,0,,,,,,,,
,2017,11,27,1,0,,,,,,,,
,2017,11,28,2,0,,,,,,,,
,2017,11,29,3,0,,,,,,,,
,2017,11,30,4,0,,,,,,,,
,2017,12,1,5,0,,,,,,,,
,2017,12,2,6,0,,,,,,,,
,2017,12,3,0,0,,,,,,,,
,2017,12,4,1,0,,,,,,,,
,2017,12,5,2,0,,,,,,,,
,2017,12,6,3,0,,,,,,,,
,2017,12,7,4,0,,,,,,,,
,2017,12,8,5,0,,,,,,,,
,2017,12,9,6,0,,,,,,,,
,2017,12,10,0,0,,,,,,,,
,2017,12,11,1,0,,,,,,,,
,2017,12,12,2,0,,,,,,,,
,2017,12,13,3,0,,,,,,,,
,2017,12,14,4,0,,,,,,,,
,2017,12,15,5,0,,,,,,,,
,2017,12,16,6,0,,,,,,,,
,2017,12,17,0,0,,,,,,,,
,2017,12,18,1,0,,,,,,,,
,2017,12,19,2,0,,,,,,,,
,2017,12,20,3,0,,,,,,,,
,2017,12,21,4,0,,,,,,,,
,2017,12,22,5,0,,,,,,,,
,2017,12,23,6,0,ìVçcíaê∂ì˙,,,,,,,
,2017,12,24,0,0,,,,,,,,
,2017,12,25,1,0,,,,,,,,
,2017,12,26,2,0,,,,,,,,
,2017,12,27,3,0,,,,,,,,
,2017,12,28,4,0,,,,,,,,
,2017,12,29,5,0,,,,,,,,
,2017,12,30,6,0,,,,,,,,
,2017,12,31,0,0,,,,,,,,
,2018,1,1,1,0,å≥ì˙,,,,,,,
,2018,1,2,2,0,,,,,,,,
,2018,1,3,3,0,,,,,,,,
,2018,1,4,4,0,,,,,,,,
,2018,1,5,5,0,,,,,,,,
,2018,1,6,6,0,,,,,,,,
,2018,1,7,0,0,,,,,,,,
,2018,1,8,1,0,ê¨êlÇÃì˙,,,,,,,
,2018,1,9,2,0,,,,,,,,
,2018,1,10,3,0,,,,,,,,
,2018,1,11,4,0,,,,,,,,
,2018,1,12,5,0,,,,,,,,
,2018,1,13,6,0,,,,,,,,
,2018,1,14,0,0,,,,,,,,
,2018,1,15,1,0,,,,,,,,
,2018,1,16,2,0,,,,,,,,
,2018,1,17,3,0,,,,,,,,
,2018,1,18,4,0,,,,,,,,
,2018,1,19,5,0,,,,,,,,
,2018,1,20,6,0,,,,,,,,
,2018,1,21,0,0,,,,,,,,
,2018,1,22,1,0,,,,,,,,
,2018,1,23,2,0,,,,,,,,
,2018,1,24,3,0,,,,,,,,
,2018,1,25,4,0,,,,,,,,
,2018,1,26,5,0,,,,,,,,
,2018,1,27,6,0,,,,,,,,
,2018,1,28,0,0,,,,,,,,
,2018,1,29,1,0,,,,,,,,
,2018,1,30,2,0,,,,,,,,
,2018,1,31,3,0,,,,,,,,
,2018,2,1,4,0,,,,,,,,
,2018,2,2,5,0,,,,,,,,
,2018,2,3,6,0,,,,,,,,
,2018,2,4,0,0,,,,,,,,
,2018,2,5,1,0,,,,,,,,
,2018,2,6,2,0,,,,,,,,
,2018,2,7,3,0,,,,,,,,
,2018,2,8,4,0,,,,,,,,
,2018,2,9,5,0,,,,,,,,
,2018,2,10,6,0,,,,,,,,
,2018,2,11,0,0,åöçëãLîOÇÃì˙,,,,,,,
,2018,2,12,1,0,êUë÷ãxì˙,,,,,,,
,2018,2,13,2,0,,,,,,,,
,2018,2,14,3,0,,,,,,,,
,2018,2,15,4,0,,,,,,,,
,2018,2,16,5,0,,,,,,,,
,2018,2,17,6,0,,,,,,,,
,2018,2,18,0,0,,,,,,,,
,2018,2,19,1,0,,,,,,,,
,2018,2,20,2,0,,,,,,,,
,2018,2,21,3,0,,,,,,,,
,2018,2,22,4,0,,,,,,,,
,2018,2,23,5,0,,,,,,,,
,2018,2,24,6,0,,,,,,,,
,2018,2,25,0,0,,,,,,,,
,2018,2,26,1,0,,,,,,,,
,2018,2,27,2,0,,,,,,,,
,2018,2,28,3,0,,,,,,,,
,2018,3,1,4,0,,,,,,,,
,2018,3,2,5,0,,,,,,,,
,2018,3,3,6,0,,,,,,,,
,2018,3,4,0,0,,,,,,,,
,2018,3,5,1,0,,,,,,,,
,2018,3,6,2,0,,,,,,,,
,2018,3,7,3,0,,,,,,,,
,2018,3,8,4,0,,,,,,,,
,2018,3,9,5,0,,,,,,,,
,2018,3,10,6,0,,,,,,,,
,2018,3,11,0,0,,,,,,,,
,2018,3,12,1,0,,,,,,,,
,2018,3,13,2,0,,,,,,,,
,2018,3,14,3,0,,,,,,,,
,2018,3,15,4,0,,,,,,,,
,2018,3,16,5,0,,,,,,,,
,2018,3,17,6,0,,,,,,,,
,2018,3,18,0,0,,,,,,,,
,2018,3,19,1,0,,,,,,,,
,2018,3,20,2,0,,,,,,,,
,2018,3,21,3,0,ètï™ÇÃì˙,,,,,,,
,2018,3,22,4,0,,,,,,,,
,2018,3,23,5,0,,,,,,,,
,2018,3,24,6,0,,,,,,,,
,2018,3,25,0,0,,,,,,,,
,2018,3,26,1,0,,,,,,,,
,2018,3,27,2,0,,,,,,,,
,2018,3,28,3,0,,,,,,,,
,2018,3,29,4,0,,,,,,,,
,2018,3,30,5,0,,,,,,,,
,2018,3,31,6,0,,,,,,,,
